word,gender,pic
Krankenhaus,das,images/Krankenhaus.jpg
Konzert,das,images/Konzert.jpg
Herz,das,images/Herz.jpg
Platz,der,images/Platz.jpg
Freude,die,images/Freude.jpg
Tisch,der,images/Tisch.jpg
Blume,die,images/Blume.jpg
Tinte,die,images/Tinte.png
Welt,die,images/Welt.jpg
Bus,der,images/Bus.jpg
Arbeit,die,images/Arbeit.jpg
Stadt,die,images/Stadt.jpg
Feuer,das,images/Feuer.jpg
Wasser,das,images/Wasser.jpg
Gesicht,das,images/Gesicht.jpg
Fahrrad,das,images/Fahrrad.jpg
Mensch,der,images/Mensch.jpg
Person,die,images/Person.jpg
Baby,das,images/Baby.jpg
Kind,das,images/Kind.jpg
Wort,das,images/Wort.jpg
Butter,die,images/Butter.jpg
Zimmer,das,images/Zimmer.jpg
Computer,der,images/Computer.gif
Messer,das,images/Messer.png
Gabel,die,images/Gabel.jpg
Arbiter,der,images/Arbiter.jpg
Musik,die,images/Musik.jpg
Esel,der,images/Esel.jpg
Hund,der,images/Hund.jpg
Pferd,das,images/Pferd.jpg
Vogel,der,images/Vogel.jpg
Fisch,der,images/Fisch.jpg
Meerschweinchen,das,images/Meerschweinchen.jpg
Ferkel,das,images/Ferkel.jpg
Kuh,die,images/Kuh.jpg
Maus,die,images/Maus.jpg
Heft,das,images/Heft.jpg
Papier,das,images/Papier.jpg
Kuli,der,images/Kuli.jpg
Tag,der,images/Tag.jpg
Woche,die,images/Woche.jpg
Schuh,der,images/Schuh.jpg
Himmel,der,images/Himmel.jpg
Erde,die,images/Erde.jpg
Boden,der,images/Boden.jpg
Stein,der,images/Stein.jpg
Fenster,das,images/Fenster.jpg
Telefon,das,images/Telefon.jpg
Handy,das,images/Handy.jpg
Radio,das,images/Radio.png
Dieb,der,images/Dieb.jpg
Kuchen,der,images/Kuchen.png
Brot,das,images/Brot.jpg
Feder,die,images/Feder.jpg
Bett,das,images/Bett.jpg
Ball,der,images/Ball.jpg
Ende,das,images/Ende.jpg
Kamera,die,images/Kamera.jpg
Moped,das,images/Moped.png
Auto,das,images/Auto.jpg
Lastwagen,der,images/Lastwagen.jpg
Flugzeug,das,images/Flugzeug.jpg
Zug,der,images/Zug.jpg
Schiff,das,images/Schiff.jpg
Autobahn,die,images/Autobahn.jpg
Eis,das,images/Eis.jpg
Mantel,der,images/Mantel.jpg
Wurst,die,images/Wurst.png
Nachtisch,der,images/Nachtisch.jpg
Speisekarte,die,images/Speisekarte.jpg
Wetter,das,images/Wetter.jpg
Stock,der,images/Stock.jpg
Kassier,der,images/Kassier.jpg
Lehrerin,die,images/Lehrerin.jpg
Spiel,das,images/Spiel.jpg
Bahnhof,der,images/Bahnhof.jpg
Armee,die,images/Armee.jpeg
Film,der,images/Film.jpg
Teppich,der,images/Teppich.jpg
Kleiderständer,der,images/Kleiderständer.jpg
Spiegel,der,images/Spiegel.jpg
Dach,das,images/Dach.jpg
Badewanne,die,images/Badewanne.jpg
Wand,die,images/Wand.jpg
Decke,die,images/Decke.jpg
Fernseher,der,images/Fernseher.jpg
Fernsehapparat,der,images/Fernsehapparat.jpg
Herd,der,images/Herd.gif
Lektion,die,images/Lektion.jpg
Schrank,der,images/Schrank.jpg
Poster,das,images/Poster.jpg
Plakat,das,images/Plakat.jpeg
Berg,der,images/Berg.jpg
Stuhl,der,images/Stuhl.jpg
Sprache,die,images/Sprache.jpg
Hand,die,images/Hand.jpg
Lied,das,images/Lied.jpg
Glas,das,images/Glas.jpg
Tonband,das,images/Tonband.jpg
Flasche,die,images/Flasche.jpg
Erdgas,das,images/Erdgas.jpeg
Luft,die,images/Luft.jpg
Verpackung,die,images/Verpackung.jpg
Geschichte,die,images/Geschichte.jpg
Paket,das,images/Paket.jpg
Chef,der,images/Chef.jpg
Kongress,der,images/Kongress.gif
